place_id,display_name,wiki_title,status,monthly_rows
lk_matale_sri_muthumariamman_temple_matale,"Sri Muthumariamman Temple, Matale",Sri_Muthumariamman_Thevasthanam,no_data,0
lk_matale_erawula_pottery_village,Erawula Pottery Village,Matale,ok,25
lk_matale_kandalama_reservoir_viewpoint,Kandalama Reservoir Viewpoint,Kandalama,ok,25
lk_matara_mirissa_beach,Mirissa Beach,Mirissa,ok,25
lk_matara_hiriketiya_beach,Hiriketiya Beach,Hiriketiya,no_data,0
lk_matara_talalla_beach,Talalla Beach,Talalla,no_data,0
lk_matara_weligama_bay,Weligama Bay,Weligama,ok,25
lk_matara_coconut_tree_hill,Coconut Tree Hill,Mirissa,ok,25
lk_matara_devinuwara_temple,Devinuwara Temple,"Dondra,_Sri_Lanka",no_data,0
lk_matara_dikwella_beach,Dikwella Beach,Dickwella,ok,25
lk_matara_dondra_head_lighthouse,Dondra Head Lighthouse,Dondra_Head_Lighthouse,ok,25
lk_matara_madiha_beach,Madiha Beach,Madiha,ok,25
lk_matara_matara_star_fort,Matara Star Fort,"Star_fort,_Matara",ok,25
lk_matara_paravi_duwa_temple,Paravi Duwa Temple,Paravi_Duwa_Temple,no_data,0
lk_matara_polhena_beach,Polhena Beach,Polhena,no_data,0
lk_matara_secret_beach_mirissa,"Secret Beach, Mirissa",Mirissa,ok,25
lk_matara_weherahena_temple,Weherahena Temple,Weherahena_Temple,no_data,0
lk_matara_kushtarajagala_statue,Kushtarajagala Statue,Kushtarajagala,no_data,0
lk_monaragala_kataragama_sacred_city,Kataragama Sacred City,Kataragama_temple,ok,25
lk_monaragala_maligawila_buddha_statue,Maligawila Buddha Statue,Maligawila,no_data,0
lk_monaragala_buduruwagala_temple,Buduruwagala Temple,Buduruwagala,ok,24
lk_monaragala_duwili_ella,Duwili Ella,Duwili_Ella,no_data,0
lk_monaragala_nil_diya_pokuna,Nil Diya Pokuna,Nil_Diya_Pokuna,no_data,0
lk_monaragala_dematamal_viharaya,Dematamal Viharaya,Dematamal_Viharaya,no_data,0
lk_monaragala_maligawila_archaeological_museum,Maligawila Archaeological Museum,Maligawila,no_data,0
lk_monaragala_yudaganawa_raja_maha_vihara,Yudaganawa Raja Maha Vihara,Yudaganawa,ok,25
lk_mullaitivu_kokkilai_sanctuary,Kokkilai Sanctuary,Kokkilai_Sanctuary,ok,25
lk_mullaitivu_mullaitivu_beach,Mullaitivu Beach,Mullaitivu,ok,25
lk_nuwara_eliya_horton_plains_national_park,Horton Plains National Park,Horton_Plains_National_Park,ok,25
lk_nuwara_eliya_world_s_end,World's End,"World's_End,_Sri_Lanka",ok,25
lk_nuwara_eliya_aberdeen_falls,Aberdeen Falls,Aberdeen_Falls,ok,25
lk_nuwara_eliya_baker_s_falls,Baker's Falls,Baker's_Falls,ok,25
lk_nuwara_eliya_bomburu_ella,Bomburu Ella,Bomburu_Ella,ok,25
lk_nuwara_eliya_hakgala_botanical_garden,Hakgala Botanical Garden,Hakgala_Botanical_Garden,ok,25
lk_nuwara_eliya_pidurutalagala,Pidurutalagala,Pidurutalagala,ok,25
lk_nuwara_eliya_ramboda_falls,Ramboda Falls,Ramboda_Falls,ok,25
lk_nuwara_eliya_seetha_amman_temple,Seetha Amman Temple,Seetha_Amman_Temple,ok,25
lk_nuwara_eliya_st_clair_s_falls,St Clair's Falls,St._Clair's_Falls,ok,25
lk_nuwara_eliya_ambewela_farm,Ambewela Farm,Ambewela_Farm,ok,24
lk_nuwara_eliya_blue_field_tea_gardens,Blue Field Tea Gardens,Bluefield_Tea_Gardens,no_data,0
lk_nuwara_eliya_damro_labookellie_tea_centre,Damro Labookellie Tea Centre,Labookellie_Tea_Centre,no_data,0
lk_nuwara_eliya_devon_falls,Devon Falls,Devon_Falls,ok,25
lk_nuwara_eliya_galway_s_land_national_park,Galway's Land National Park,Galway's_Land_National_Park,ok,25
lk_nuwara_eliya_gregory_lake,Gregory Lake,Gregory_Lake,ok,25
lk_nuwara_eliya_holy_trinity_church_nuwara_eliya,"Holy Trinity Church, Nuwara Eliya","Holy_Trinity_Church,_Nuwara_Eliya",ok,25
lk_nuwara_eliya_lover_s_leap_waterfall,Lover's Leap Waterfall,Lover's_Leap_Falls,no_data,0
lk_nuwara_eliya_mini_world_s_end,Mini World's End,"World's_End,_Sri_Lanka",ok,25
lk_nuwara_eliya_moon_plains,Moon Plains,Moon_Plains,no_data,0
lk_nuwara_eliya_pedro_tea_estate,Pedro Tea Estate,Pedro_Tea_Factory,no_data,0
lk_nuwara_eliya_single_tree_hill,Single Tree Hill,Single_Tree_Hill,ok,22
lk_nuwara_eliya_victoria_park_nuwara_eliya,"Victoria Park, Nuwara Eliya","Victoria_Park,_Nuwara_Eliya",ok,25
lk_nuwara_eliya_blackpool_falls,Blackpool Falls,"Blackpool,_Nuwara_Eliya",no_data,0
lk_nuwara_eliya_kande_ela_reservoir,Kande Ela Reservoir,Kande_Ela_Reservoir,no_data,0
lk_nuwara_eliya_nanu_oya_railway_station,Nanu Oya Railway Station,Nanu_Oya_railway_station,ok,25
lk_nuwara_eliya_pattipola_railway_station,Pattipola Railway Station,Pattipola_railway_station,ok,25
lk_polonnaruwa_ancient_city_of_polonnaruwa,Ancient City of Polonnaruwa,Polonnaruwa,ok,25
lk_polonnaruwa_gal_vihara,Gal Vihara,Gal_Vihara,ok,25
lk_polonnaruwa_minneriya_national_park,Minneriya National Park,Minneriya_National_Park,ok,25
lk_polonnaruwa_polonnaruwa_vatadage,Polonnaruwa Vatadage,Polonnaruwa_Vatadage,ok,25
lk_polonnaruwa_kaudulla_national_park,Kaudulla National Park,Kaudulla_National_Park,ok,25
lk_polonnaruwa_medirigiriya_vatadage,Medirigiriya Vatadage,Medirigiriya_Vatadage,ok,25
