review_status,duplicate_status,planner_eligible,district,name,categories,latitude,longitude,osm_quality_score,importance_score,tier,duplicate_of_name,duplicate_distance_km,rejection_reason,osm_type,osm_id,osm_url,osm_tags
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9462971,80.3677168,0,3,tier_3,,,missing_name,node,9417486022,https://www.openstreetmap.org/node/9417486022,"{""historic"": ""monument""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9685344,80.3282593,0,3,tier_3,,,missing_name,node,8441295599,https://www.openstreetmap.org/node/8441295599,"{""historic"": ""monument""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9693079,80.3276095,0,3,tier_3,,,missing_name,node,8441297050,https://www.openstreetmap.org/node/8441297050,"{""historic"": ""monument""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9704097,80.3275784,0,3,tier_3,,,missing_name,node,8441297106,https://www.openstreetmap.org/node/8441297106,"{""historic"": ""monument""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9645404,80.35914,0,3,tier_3,,,missing_name,node,9420454201,https://www.openstreetmap.org/node/9420454201,"{""historic"": ""monument""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9832308,80.3522501,0,3,tier_3,,,missing_name,node,9315063603,https://www.openstreetmap.org/node/9315063603,"{""historic"": ""memorial""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9729557,80.372849,0,3,tier_3,,,missing_name,node,9423392957,https://www.openstreetmap.org/node/9423392957,"{""historic"": ""monument""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,8.0026901,80.1992631,0,3,tier_3,,,missing_name,node,9399892394,https://www.openstreetmap.org/node/9399892394,"{""historic"": ""monument""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,8.0312275,80.2091433,0,3,tier_3,,,missing_name,node,8515096098,https://www.openstreetmap.org/node/8515096098,"{""historic"": ""monument""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,8.0514154,80.1484042,0,3,tier_3,,,missing_name,node,8544833300,https://www.openstreetmap.org/node/8544833300,"{""historic"": ""monument""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9976415,80.2368514,0,3,tier_3,,,missing_name,node,8446923796,https://www.openstreetmap.org/node/8446923796,"{""historic"": ""monument""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9954496,80.3114993,0,3,tier_3,,,missing_name,node,8450440626,https://www.openstreetmap.org/node/8450440626,"{""historic"": ""monument""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,8.0300455,80.2993177,0,3,tier_3,,,missing_name,node,8458113616,https://www.openstreetmap.org/node/8458113616,"{""historic"": ""monument""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,8.0420122,80.2259249,0,3,tier_3,,,missing_name,node,8496551734,https://www.openstreetmap.org/node/8496551734,"{""historic"": ""monument""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|scenic,8.0620131,80.2446231,0,3,tier_3,,,missing_name,node,3937209676,https://www.openstreetmap.org/node/3937209676,"{""tourism"": ""viewpoint""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,8.075905,80.2315685,0,3,tier_3,,,missing_name,node,9244242169,https://www.openstreetmap.org/node/9244242169,"{""historic"": ""memorial""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,8.0600523,80.3085478,0,3,tier_3,,,missing_name,node,8480083951,https://www.openstreetmap.org/node/8480083951,"{""historic"": ""monument""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,8.0650613,80.2808049,0,3,tier_3,,,missing_name,node,9253774168,https://www.openstreetmap.org/node/9253774168,"{""historic"": ""memorial""}"
